,seller,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
135,flowertopia,rolling-filters-raw-black-tips,Rolling FIlters RAW Black Tips,Maq Distributors,2,False,,,,Accessories,
136,flowertopia,rolling-papers-raw-classic-hemp-single-wide,Rolling Papers RAW Classic Hemp Single Wide,Maq Distributors,1.99,False,,,,Accessories,
137,flowertopia,ronson-multi-fill-butane,Ronson Multi-fill Butane,One Wholesale,6.99,False,,,,Accessories,
138,flowertopia,root-beer-float-pre-roll-3-pack-1-5g,Root Beer Float Pre-Roll 3-pack | 1.5g,Bold Growth,22.6,False,,,,Pre-Rolls,
139,flowertopia,sourz-blue-raspberry-watermelon,SOURZ Blue Raspberry Watermelon,Spinach,6.99,False,,,,Edible,
140,flowertopia,sourz-peach-orange-1-1,SOURZ Peach Orange 1:1,Spinach,7.5,False,,,,Edible,
141,flowertopia,sourz-strawberry-mango-gummies,SOURZ Strawberry Mango Gummies,Spinach,7.99,False,,,,Edible,
142,flowertopia,sage-n-sour-87290,Sage N' Sour,MTL Cannabis,34.1,False,,,,Flower,
143,flowertopia,santa-cruz-shredder-2-piece-hemp-grinder-asst-colours,Santa Cruz Shredder 2-Piece Hemp Grinder Asst. Colours,Humble and Fume,9.49,False,,,,Accessories,
144,flowertopia,sativa-pre-rolls-2g,Sativa Pre-Rolls | 2g,Hiway,9.57,False,,,,Pre-Rolls,
145,flowertopia,scott-s-og-pre-roll-0-5g,Scott's OG Pre-Roll | 0.5g,Hiway,5,False,,,,Pre-Rolls,
146,flowertopia,screens-metal-standard-brass,Screens - Metal - Standard Brass,Maq Distributors,0.99,False,,,,Accessories,
147,flowertopia,sharpstone-2-piece-grinder-2-5-black,"SharpStone 2-Piece Grinder - 2.5"" Black",Humble and Fume,17.99,False,,,,Accessories,
148,flowertopia,sharpstone-2-piece-grinder-2-5-pink-82242,"SharpStone 2-Piece Grinder - 2.5"" Pink",CanaCrush,17.99,False,,,,Accessories,
149,flowertopia,sharpstone-2-piece-grinder-2-5-green,"Sharpstone 2-piece Grinder - 2.5"" Green",Humble and Fume,17.99,False,,,,Accessories,
150,flowertopia,skilletools-mini-mr-dabalina,Skilletools Mini - Mr. Dabalina,Humble and Fume,11.99,False,,,,Accessories,
151,flowertopia,skunk-brand-flavoured-papers-blackberry,Skunk Brand Flavoured Papers - Blackberry,One Wholesale,2.27,False,,,,Accessories,
152,flowertopia,sour-apple-cartridge-1g,Sour Apple Cartridge | 1g,Back Forty,37,False,,,,Vaporizers,
153,flowertopia,sour-diesel-shatter-1g,Sour Diesel Shatter | 1g,RAD,35.99,False,,,,Concentrate,
154,flowertopia,sour-og-cheese,Sour OG Cheese,Edison Cannabis Co.,32.95,False,,,,Flower,
155,flowertopia,spicy-pineapple-habanero-soft-chew,Spicy Pineapple Habanero Soft Chew,Daily Special,5,False,,,,Edible,
156,flowertopia,spoon-by-grav-4-green,"Spoon by Grav - 4"" Green",Humble and Fume,18.99,False,,,,Accessories,
